match_id,time_ms,x,y,type
18,525260,1009,591,-1
18,525610,961,555,-1
18,525680,956,516,-1
18,525800,951,469,-1
18,525820,949,462,-1
18,525840,948,456,-1
18,526120,929,411,-1
18,528520,817,517,-1
18,528860,382,749,-1
18,529040,462,738,-1
18,551020,1164,480,-1
18,551160,1269,475,-1
18,575440,1004,484,-1
18,575640,941,472,-1
18,576080,910,243,-1
18,576380,978,239,-1
18,576420,989,244,-1
18,576980,1139,478,-1
18,577420,1284,903,-1
18,577840,1362,830,-1
18,600550,1011,470,-1
18,600640,1017,396,-1
18,600860,1017,278,-1
18,601280,1067,243,-1
18,601540,1088,308,-1
18,601860,1102,482,-1
18,602160,1102,742,-1
18,602820,1126,515,-1
18,603280,1137,408,-1
18,603340,1142,413,-1
18,603860,1104,270,-1
18,603940,1067,278,-1
18,604660,677,664,-1
18,605000,536,632,-1
18,605220,440,684,-1
18,606060,738,426,-1
18,606410,816,435,-1
18,606500,826,404,-1
18,606720,849,352,-1
18,606820,858,344,-1
18,606960,820,366,-1
18,607200,740,468,-1
18,607480,627,702,-1
18,607510,619,721,-1
18,608040,420,868,-1
18,608200,485,759,-1
18,608360,603,584,-1
18,608540,715,444,-1
18,608800,848,330,-1
18,608880,884,312,-1
18,608940,910,302,-1
18,609540,1135,481,-1
18,609710,1204,691,-1
18,609760,1222,684,-1
18,610180,1357,778,-1
18,610220,1370,802,-1
18,611480,1519,1023,-1
18,612240,104,891,-1
18,645960,959,480,-1
18,646070,936,478,-1
18,646160,917,392,-1
18,646300,894,302,-1
18,646500,910,288,-1
18,647280,1096,725,-1
18,647420,1138,890,-1
18,647450,1144,907,-1
18,647820,1218,954,-1
18,724820,824,465,-1
18,724860,793,458,-1
18,725060,675,449,-1
18,725140,647,388,-1
18,725320,600,286,-1
18,725420,582,252,-1
18,725540,561,231,-1
18,726220,427,281,-1
18,726280,416,289,-1
18,748080,984,519,-1
18,748120,986,540,-1
18,748150,989,543,-1
18,748840,1035,480,-1
18,748980,1043,520,-1
18,749040,1048,543,-1
18,749060,1049,552,-1
18,749260,1059,550,-1
18,749280,1060,544,-1
18,749680,1080,541,-1
18,749780,1084,561,-1
18,750160,1104,570,-1
18,750360,1115,577,-1
18,760820,875,476,-1
18,761000,919,472,-1
18,761020,928,466,-1
18,761350,1060,467,-1
18,761400,1075,414,-1
18,762400,1120,450,-1
18,762560,1086,582,-1
18,762660,1062,683,-1
18,763000,988,742,-1
18,763240,930,541,-1
18,763580,882,325,-1
18,764090,852,353,-1
18,764180,847,300,-1
18,764460,875,201,-1
18,764920,1118,267,-1
18,765000,1158,305,-1
18,765240,1277,468,-1
18,765360,1334,578,-1
