match_id,time_ms,ball_sn,x,y,score,org_score
27,4361290,5,1224.0,472.0,0.9999999960218053,19.342437744140625
27,4361290,5,1316.0,0.0,7.985052235909399e-07,-14.040523529052734
27,4361330,5,1224.0,512.0,0.9999999993895854,21.21688270568848
27,4361330,5,1316.0,0.0,9.250956564243104e-07,-13.893367767333984
27,4361370,5,1228.0,556.0,0.999999999539718,21.499181747436523
27,4361370,5,1316.0,0.0,6.27899716308326e-07,-14.280884742736815
27,4361410,5,1228.0,604.0,0.9999999716656355,17.37919044494629
27,4361410,5,1316.0,0.0,1.6038140045337127e-07,-15.645710945129395
27,4361410,5,932.0,356.0,2.3215670903799943e-09,-19.881023406982425
27,4361450,5,1228.0,656.0,0.9999999996743878,21.845314025878906
27,4361450,5,1316.0,0.0,1.929952823182272e-07,-15.460599899291992
27,4361450,5,932.0,356.0,4.609490656842602e-09,-19.195148468017575
27,4361490,5,1228.0,712.0,0.9999999999542852,23.808597564697266
27,4361490,5,1316.0,0.0,3.0239545428484514e-07,-15.011529922485352
27,4361490,5,932.0,356.0,3.960425787586667e-09,-19.34691429138184
27,4361530,5,1228.0,772.0,0.9999999995334281,21.48560905456543
27,4361530,5,1316.0,0.0,1.4340017665061146e-07,-15.7576265335083
27,4361530,5,932.0,356.0,5.225539056499948e-09,-19.0697078704834
27,4361570,5,1228.0,796.0,0.9999994770230645,14.463727951049805
27,4361570,5,1316.0,0.0,1.317281360071834e-07,-15.842525482177734
27,4361570,5,932.0,356.0,4.3284816459599635e-09,-19.25804901123047
27,4361610,5,1232.0,792.0,0.9999997158208916,15.073660850524902
27,4361610,5,1316.0,0.0,2.0545612128307637e-07,-15.398033142089846
27,4361610,5,932.0,356.0,3.822327760355576e-09,-19.38240623474121
27,4361650,5,1228.0,792.0,0.9999996960087436,15.006266593933105
27,4361650,5,1316.0,0.0,2.3883314701866756e-07,-15.2475004196167
27,4361650,5,932.0,356.0,6.482532446557307e-09,-18.854154586791992
27,4361690,5,1208.0,732.0,0.9999999999366764,23.482763290405273
27,4361690,5,1316.0,0.0,3.142082999580772e-07,-14.973209381103516
27,4361690,5,932.0,356.0,1.0846967651681589e-08,-18.339380264282227
27,4361730,5,1184.0,664.0,0.9999999999663811,24.11593246459961
27,4361730,5,1316.0,0.0,2.150434383691017e-07,-15.352425575256348
27,4361730,5,932.0,356.0,2.0506494303320378e-08,-17.702524185180664
27,4361730,5,1132.0,196.0,8.130963791466365e-09,-18.627586364746094
27,4361770,5,1160.0,600.0,0.9999999992826492,21.055456161499023
27,4361770,5,1316.0,0.0,1.240954104540063e-07,-15.902215003967285
27,4361770,5,932.0,356.0,1.1022722109142337e-08,-18.32330703735352
27,4361810,5,1136.0,548.0,0.9999999997088631,21.95722770690918
27,4361810,5,1316.0,0.0,1.6798884418867556e-07,-15.59936809539795
27,4361810,5,932.0,356.0,4.055597525643529e-09,-19.32316780090332
27,4361850,5,1116.0,504.0,0.999999999455383,21.3309383392334
27,4361850,5,1316.0,0.0,1.7113573717721168e-07,-15.580808639526367
27,4361890,5,1096.0,464.0,0.999999999120889,20.852109909057614
27,4361890,5,1316.0,0.0,1.3431573626593814e-07,-15.82307243347168
27,4361930,5,1080.0,428.0,0.9999999895511692,18.37677574157715
27,4361930,5,1316.0,0.0,1.3278509745087901e-07,-15.83453369140625
27,4361970,5,1060.0,404.0,0.9999999446702597,16.709955215454098
27,4361970,5,1316.0,0.0,1.9487046322640495e-07,-15.45093059539795
27,4361970,5,932.0,356.0,2.12002086378016e-09,-19.97183990478516
27,4362010,5,1040.0,380.0,0.9999996577881493,14.887835502624512
