match_id,time_ms,ball_sn,x,y
20,6665380,0,767,654
20,6665420,0,754,668
20,6665460,0,739,688
20,6665500,0,725,710
20,6665540,0,716,728
20,6665580,0,740,683
20,6665620,0,772,628
20,6665660,0,798,588
20,6665700,0,820,557
20,6665740,0,848,518
20,6665780,0,867,495
20,6665820,0,888,467
20,6665860,0,906,449
20,6665900,0,922,434
20,6665940,0,940,416
20,6665980,0,954,403
20,6666020,0,970,392
20,6666060,0,984,385
20,6666100,0,996,379
20,6666140,0,1010,374
20,6666180,0,1022,371
20,6666220,0,1034,369
20,6666260,0,1045,369
20,6666300,0,1055,370
20,6666340,0,1065,373
20,6666380,0,1075,376
20,6666420,0,1083,359
20,6666460,0,1089,343
20,6666500,0,1094,329
20,6666540,0,1102,316
20,6666580,0,1109,302
20,6666620,0,1113,289
20,6666660,0,1118,278
20,6666700,0,1123,271
20,6666740,0,1129,264
20,6666780,0,1133,258
20,6666820,0,1136,258
20,6666860,0,1137,263
20,6666900,0,1137,270
20,6666940,0,1137,279
20,6666980,0,1137,291
20,6667020,0,1138,303
20,6667060,0,1139,320
20,6667100,0,1140,335
20,6667140,0,1142,355
20,6667180,0,1143,376
20,6667220,0,1146,399
20,6667260,0,1146,426
20,6667300,0,1149,450
20,6667340,0,1152,485
20,6667380,0,1154,515
20,6667420,0,1158,553
20,6667460,0,1160,589
20,6667500,0,1163,627
20,6667540,0,1168,667
20,6667580,0,1170,693
20,6667620,0,1171,693
20,6667660,0,1173,695
20,6667700,0,1175,698
20,6667740,0,1177,704
20,6667780,0,1180,712
20,6667820,0,1183,722
20,6667860,0,1185,734
20,6667900,0,1187,749
20,6667940,0,1191,766
20,6667980,0,1194,785
20,6668020,0,1197,807
20,6668060,0,1200,813
20,6668100,0,1194,745
20,6668140,0,1189,665
20,6668180,0,1185,614
20,6668220,0,1179,556
20,6668260,0,1176,521
20,6668300,0,1173,489
20,6668340,0,1170,457
20,6668380,0,1166,431
20,6668420,0,1164,407
20,6668460,0,1161,391
20,6668500,0,1158,378
20,6668540,0,1155,365
20,6668580,0,1153,355
20,6668620,0,1151,349
20,6668660,0,1149,344
20,6668700,0,1147,342
20,6668740,0,1145,341
20,6668780,0,1143,342
20,6668820,0,1141,344
20,6668860,0,1139,348
20,6668900,0,1137,352
20,6668940,0,1137,354
20,6668980,0,1136,333
20,6669020,0,1137,319
20,6669060,0,1135,293
20,6669100,0,1134,279
20,6669140,0,1134,262
20,6669180,0,1134,249
20,6669220,0,1134,237
20,6669260,0,1125,230
20,6669300,0,1110,228
20,6669340,0,1081,233
20,6669380,0,1065,227
20,6669420,0,1045,229
20,6669460,0,1024,233
20,6669500,0,1005,237
20,6669540,0,986,248
20,6669580,0,960,256
20,6669620,0,936,261
20,6669660,0,915,279
20,6669700,0,894,292
20,6669740,0,872,307
20,6669780,0,846,327
20,6669820,0,826,345
20,6669860,0,798,371
20,6669900,0,778,392
20,6669940,0,756,415
20,6669980,0,726,449
20,6670020,0,701,480
20,6670060,0,675,513
20,6670100,0,651,549
20,6670140,0,630,580
20,6670180,0,599,627
20,6670220,0,569,682
20,6670260,0,546,686
20,6670300,0,526,680
20,6670340,0,503,675
20,6670380,0,479,672
20,6670420,0,457,671
20,6670460,0,427,672
20,6670500,0,407,674
20,6670540,0,381,679
20,6670580,0,356,686
20,6670620,0,330,695
20,6670660,0,304,706
20,6670700,0,277,719
20,6670740,0,249,735
20,6670780,0,221,754
20,6670820,0,246,732
20,6670860,0,310,680
20,6670900,0,362,640
20,6670940,0,413,601
20,6670980,0,457,570
20,6671020,0,490,546
20,6671060,0,539,515
20,6671100,0,566,495
20,6671140,0,602,472
20,6671180,0,632,455
20,6671220,0,665,442
20,6671260,0,690,425
20,6671300,0,714,411
20,6671340,0,743,400
20,6671380,0,767,391
20,6671420,0,794,382
20,6671460,0,820,373
20,6671500,0,843,368
20,6671540,0,865,364
20,6671580,0,891,358
20,6671620,0,914,356
20,6671660,0,937,354
20,6671700,0,958,352
20,6671740,0,978,352
20,6671780,0,998,353
20,6671820,0,1021,353
20,6671860,0,1040,356
20,6671900,0,1057,358
20,6671940,0,1071,352
20,6671980,0,1087,337
20,6672020,0,1101,327
20,6672060,0,1116,317
20,6672100,0,1132,306
20,6672140,0,1145,300
20,6672180,0,1159,293
20,6672220,0,1173,290
20,6672260,0,1186,286
20,6672300,0,1202,283
20,6672340,0,1214,281
20,6672380,0,1222,278
20,6672420,0,1240,291
20,6672460,0,1256,298
20,6672500,0,1269,310
20,6672540,0,1279,314
20,6672580,0,1295,325
20,6672620,0,1307,337
20,6672660,0,1323,353
20,6672700,0,1336,368
20,6672740,0,1348,384
20,6672780,0,1362,407
20,6672820,0,1373,423
20,6672860,0,1386,446
20,6672900,0,1398,472
20,6672940,0,1412,498
20,6672980,0,1424,527
20,6673020,0,1437,559
20,6673060,0,1451,591
20,6673100,0,1464,627
20,6673140,0,1477,661
20,6673180,0,1492,705
20,6673220,0,1505,723
20,6673260,0,1518,729
20,5013960,2,997,180
20,5014000,2,970,201
20,5014040,2,940,233
20,5014080,2,919,265
20,5014120,2,894,296
20,5014160,2,866,331
20,5014200,2,844,364
20,5014240,2,816,412
20,5014280,2,794,451
20,5014320,2,773,491
20,5014360,2,745,549
20,5014400,2,721,569
20,5014440,2,697,564
20,5014480,2,672,561
20,5014520,2,646,559
20,5014560,2,622,560
20,5014600,2,597,561
20,5014640,2,569,566
20,5014680,2,544,571
20,5014720,2,516,581
20,5014760,2,491,592
20,5014800,2,504,582
20,5014840,2,568,528
20,5014880,2,610,497
20,5014920,2,666,458
20,5014960,2,698,437
20,5015000,2,732,417
20,5015040,2,771,393
20,5015080,2,800,376
20,5015120,2,832,358
20,5015160,2,857,345
20,5015200,2,879,336
20,5015240,2,903,325
20,5015280,2,925,317
20,5015320,2,949,309
20,5015360,2,969,308
20,5015400,2,982,302
20,5015440,2,999,300
20,5015480,2,1015,298
20,5015520,2,1030,297
20,5015560,2,1044,297
20,5015600,2,1055,299
20,5015640,2,1066,301
20,5015680,2,1084,308
20,5015720,2,1091,312
20,5015760,2,1099,312
20,5015800,2,1104,297
20,5015840,2,1094,289
20,5015880,2,1079,287
20,5015920,2,1063,286
20,5015960,2,1047,286
20,5016000,2,1035,288
20,5016040,2,1019,291
20,5016080,2,1003,294
20,5016120,2,988,299
20,5016160,2,969,307
20,5016200,2,957,312
20,5016240,2,942,323
20,5016280,2,924,334
20,5016320,2,908,348
20,5016360,2,892,362
20,5016400,2,878,376
20,5016440,2,860,395
20,5016480,2,844,413
20,5016520,2,825,436
20,5016560,2,809,458
20,5016600,2,793,482
20,5016640,2,777,507
20,5016680,2,759,536
20,5016720,2,742,566
20,5016760,2,725,598
20,5016800,2,709,630
20,5016840,2,692,661
20,5016880,2,681,657
20,5016920,2,670,654
20,5016960,2,660,651
20,5017000,2,649,651
20,5017040,2,639,652
20,5017080,2,628,655
20,5017120,2,618,659
20,5017160,2,606,665
20,5017200,2,596,673
20,5017240,2,587,683
20,5017280,2,577,694
20,5017320,2,564,709
20,5017360,2,553,725
20,5017400,2,541,739
20,5017440,2,531,758
20,5017480,2,597,691
20,5017520,2,650,637
20,5017560,2,712,575
20,5017600,2,753,539
20,5017640,2,804,495
20,5017680,2,833,469
20,5017720,2,864,447
20,5017760,2,899,424
20,5017800,2,923,408
20,5017840,2,944,395
20,5017880,2,973,383
20,5017920,2,996,375
20,5017960,2,1014,369
20,5018000,2,1031,367
20,5018040,2,1047,365
20,5018080,2,1063,366
20,5018120,2,1077,368
20,5018160,2,1090,359
20,5018200,2,1100,339
20,5018240,2,1109,320
20,5018280,2,1122,299
20,5018320,2,1132,286
20,5018360,2,1142,267
20,5018400,2,1149,257
20,5018440,2,1158,244
20,5018480,2,1166,235
20,5018520,2,1175,227
20,5018560,2,1182,221
